OBJECTID,IN_FID,Subbasin,NEAR_FID,NEAR_DIST,DISTANCE_M,GROUP_,Reach,REACH_ID,X_Section,X_SECT_ID,POINT_X,POINT_Y,POINT_Z,ELEVATION_,KTQ_edit
6,5,J01-020,929382,94.73393401,310.8068701,Aliso,1,Aliso_1,42,Aliso_1_42,33.51781764,-117.7376627,30.86,9.406128,"yes, xyz slightly off"
5,4,J01-010,935034,205.5523986,674.3845098,Aliso,1,Aliso_1,66,Aliso_1_66,33.51079721,-117.7528797,12.61,3.843528,
22,21,J01-100,97559,87.64306128,287.542852,Aliso,11,Aliso_11,9,Aliso_11_9,33.67596309,-117.6235795,994.98,303.269904,
12,11,J01-041,337374,35.85001138,117.6181476,Aliso,3,Aliso_3,29,Aliso_3_29,33.56608797,-117.7172973,166.16,50.645568,
11,10,J01-040,342722,30.25081081,99.24806698,Aliso,3,Aliso_3,50,Aliso_3_50,33.55281547,-117.7187974,125.45,38.23716,
13,12,J05-010,174149,31.32466131,102.7711985,Aliso,4,Aliso_4,18,Aliso_4_18,33.58053045,-117.7092583,214.84,65.483232,
14,13,J01-060,596305,112.9162677,370.460196,Aliso,5,Aliso_5,14,Aliso_5_14,33.58102741,-117.7100248,214.26,65.306448,
15,14,J01-061,96290,0.914352731,2.999844919,Aliso,6,Aliso_6,11,Aliso_6_11,33.5888496,-117.7143662,241.05,73.47204,
18,17,J01-080,796551,25.74728492,84.47271955,Aliso,7,Aliso_7,9,Aliso_7_9,33.62491089,-117.6867862,418.29,127.494792,"yes, xyz slightly off"
17,16,J01-070,797085,114.3380768,375.124924,Aliso,7,Aliso_7,14,Aliso_7_14,33.62297502,-117.6891485,409.29,124.751592,
16,15,J01-062,799967,31.17967696,102.2955281,Aliso,7,Aliso_7,32,Aliso_7_32,33.6133087,-117.695489,366.16,111.605568,
20,19,J01-090,566135,91.58705945,300.4824785,Aliso,8,Aliso_8,33,Aliso_8_33,33.64276975,-117.6676985,582.26,177.472848,
21,20,J01-091,560376,107.551769,352.8601346,Aliso,8,Aliso_8,6,Aliso_8_6,33.65786683,-117.6578824,700.25,213.4362,
56,55,L01-100,42851,118.3326431,388.2304565,Bell,1,Bell_1,79,Bell_1_79,33.53689124,-117.5546655,359.44,109.557312,
57,56,L01-121,898992,30296.89305,99399.25543,,,,,NA,,,,,"No XS profile, need to manually get from LiDAR?"
63,62,M02-030,995428,354.5649631,1163.270876,Channel_4,1,Channel_4_1,2,Channel_4_1_2,33.45803816,-117.5954057,244.76,74.602848,
58,57,M01-010,1211127,1260.703133,4136.165136,,,,,NA,,,,,"No good rep XS, underground, multiple channels to one"
64,63,M01-011,1209706,67.97701165,223.0216918,Channel_5,1,Channel_5_1,6,Channel_5_1_6,33.44779004,-117.6329217,143.16,43.635168,"yes, xyz are slightly off"
48,47,L01-110,861253,17.23845193,56.55660081,Dove,3,Dove_3,8,Dove_3_8,33.61904683,-117.5627191,841.01,256.339848,
19,18,J07-010,51260,86.63826803,284.2462862,English,1,English_1,24,English_1_24,33.62718758,-117.6795382,471.1,143.59128,
51,50,L01-060,789996,48.62635645,159.5352902,Gober,1,Gober_1,27,Gober_1_27,33.52317593,-117.5982459,220.45,67.19316,
54,53,L01-070,159823,0.5351774,1.755831365,Gober,10,Gober_10,26,Gober_10_26,33.56005967,-117.5875229,413.59,126.062232,
53,52,L01-080,159945,87.46703554,286.9653397,Gober,11,Gober_11,87,Gober_11_87,33.56021134,-117.5874387,415.62,126.680976,"yes, xyz are slightly off"
31,30,L05-010,1175515,1009.177388,3310.949436,Horno,1,Horno_1,36,Horno_1_36,33.50527366,-117.660195,133.46,40.678608,
33,32,L05-020,1102443,26.6678207,87.49285007,Horno,3,Horno_3,13,Horno_3_13,33.52674887,-117.6474573,214.51,65.382648,
3,2,I01-012,1116522,31.68733272,103.9610654,Laguna,1,Laguna_1,11,Laguna_1_11,33.57624465,-117.7623181,203.13,61.914024,
2,1,I01-011,1119613,37.39958474,122.7020497,Laguna,1,Laguna_1,47,Laguna_1_47,33.55728782,-117.7730309,87.05,26.53284,
1,0,I01-010,1121056,1121.212489,341.7455665,Laguna,1,Laguna_1,68,Laguna_1_68,33.54446038,-117.7833291,18.04,5.498592,"yes, xyz are slightly off"
4,3,I01-020,82734,93.43025693,306.5297143,Laguna,6,Laguna_6,15,Laguna_6_15,33.58995228,-117.7526938,298.87,91.095576,
