site,summary.statistic,n_year,flow_metric,current_value,reference_value,deltaH,notes,site.year
312PS0099,min,2,DS_Dur_WS,238,238,0,"Wet, 1992",312PS0099_1992
312PS0099,median,2,DS_Dur_WS,238,238,0,"Wet, 1992",312PS0099_1992
312PS0099,max,2,DS_Dur_WS,251,251,0,"Moderate, 2010",312PS0099_2010
312PS0099,mean,2,DS_Dur_WS,NA,NA,0,NA,NA
312PS0099,min,2,DS_Mag_50,1.846229167,1.846458334,0,"Wet, 1992",312PS0099_1992
312PS0099,median,2,DS_Mag_50,1.846229167,1.846458334,0,"Wet, 1992",312PS0099_1992
312PS0099,max,2,DS_Mag_50,2.3745,2.374833,0,"Moderate, 2010",312PS0099_2010
312PS0099,mean,2,DS_Mag_50,NA,NA,0,NA,NA
312PS0099,min,2,DS_Mag_90,2.555275,2.555625,0,"Wet, 1992",312PS0099_1992
312PS0099,median,2,DS_Mag_90,2.555275,2.555625,0,"Wet, 1992",312PS0099_1992
312PS0099,max,2,DS_Mag_90,3.34575,3.346167,0,"Moderate, 2010",312PS0099_2010
312PS0099,mean,2,DS_Mag_90,NA,NA,0,NA,NA
312PS0099,min,4,DS_Tim,182,182,0,"Moderate, 2010",312PS0099_2010
312PS0099,median,4,DS_Tim,186,186,0,"Moderate, 2000",312PS0099_2000
312PS0099,max,4,DS_Tim,215,215,0,"Wet, 1992",312PS0099_1992
312PS0099,mean,4,DS_Tim,NA,NA,0,NA,NA
312PS0099,min,4,Peak_Dur_2,2,2,0,"Wet, 1992",312PS0099_1992
312PS0099,median,4,Peak_Dur_2,21,21,0,"Moderate, 2010",312PS0099_2010
312PS0099,max,4,Peak_Dur_2,53,53,0,"Wet, 2011",312PS0099_2011
312PS0099,mean,4,Peak_Dur_2,NA,NA,0,NA,NA
312PS0099,min,4,Peak_Fre_2,1,1,0,"Wet, 1992",312PS0099_1992
312PS0099,median,4,Peak_Fre_2,1,1,0,"Moderate, 2000",312PS0099_2000
312PS0099,max,4,Peak_Fre_2,3,3,0,"Wet, 2011",312PS0099_2011
312PS0099,mean,4,Peak_Fre_2,NA,NA,0,NA,NA
312PS0099,min,4,Peak_Tim_2,99,99,0,"Wet, 1992",312PS0099_1992
312PS0099,median,4,Peak_Tim_2,138.5,138.5,0,"Moderate, 2010",312PS0099_2010
312PS0099,max,4,Peak_Tim_2,148,148,0,"Wet, 2011",312PS0099_2011
312PS0099,mean,4,Peak_Tim_2,NA,NA,0,NA,NA
