"site","year","n_year","flow_metric","current_value","reference_value","deltaH","water_year_type","site.year"
"312PS0099",1992,NA,"DS_Dur_WS",238,238,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"DS_Mag_50",1.8462291665,1.8464583335,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"DS_Mag_90",2.5552749999,2.555625,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"DS_Tim",215,215,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"Peak_Dur_2",2,2,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"Peak_Fre_2",1,1,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"Peak_Tim_2",99,99,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"SP_Dur",111,111,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"SP_Mag",17.24583333,17.24791667,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"SP_ROC",0.00343676730446412,0.00343243823067817,0,"Wet","312PS0099_1992"
"312PS0099",1992,NA,"SP_Tim",104,104,0,"Wet","312PS0099_1992"
"312PS0099",2000,NA,"DS_Tim",186,186,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Peak_Dur_2",27,27,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Peak_Fre_2",1,1,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Peak_Tim_2",144,144,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"SP_Dur",22,22,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"SP_Mag",128.6666667,128.679,-0.01,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"SP_ROC",0.075793976525813,0.0757857541379951,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"SP_Tim",164,164,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Wet_BFL_Dur",33,33,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Wet_BFL_Mag_10",2.8619250002,2.8285834,0.03,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Wet_BFL_Mag_50",34.00254167,34.00654,0,"Moderate","312PS0099_2000"
"312PS0099",2000,NA,"Wet_Tim",131,131,0,"Moderate","312PS0099_2000"
"312PS0099",2010,NA,"DS_Dur_WS",251,251,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"DS_Mag_50",2.3745,2.374833,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"DS_Mag_90",3.34575,3.346167,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"DS_Tim",182,182,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Peak_Dur_2",21,21,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Peak_Fre_2",2,2,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Peak_Tim_2",138.5,138.5,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"SP_Dur",27,27,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"SP_Mag",117.831875,117.8457,-0.01,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"SP_ROC",0.0727960120069597,0.0727839174559149,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"SP_Tim",155,155,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Wet_BFL_Dur",40,40,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Wet_BFL_Mag_10",0.3667458336,0.36679164,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Wet_BFL_Mag_50",6.906583333,6.9074375,0,"Moderate","312PS0099_2010"
"312PS0099",2010,NA,"Wet_Tim",115,115,0,"Moderate","312PS0099_2010"
"312PS0099",2011,NA,"DS_Tim",201,201,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Peak_Dur_2",53,53,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Peak_Dur_5",1,1,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Peak_Fre_2",3,3,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Peak_Fre_5",1,1,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Peak_Tim_2",148,148,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Peak_Tim_5",171,171,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"SP_Dur",22,22,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"SP_Mag",247.478875,247.4329,0.05,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"SP_ROC",0.0797118915669623,0.0797116912061076,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"SP_Tim",179,179,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Wet_BFL_Dur",112,112,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Wet_BFL_Mag_10",1.5877916667,1.5369872,0.05,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Wet_BFL_Mag_50",8.2835,8.2844375,0,"Wet","312PS0099_2011"
"312PS0099",2011,NA,"Wet_Tim",67,67,0,"Wet","312PS0099_2011"
"312PS0099",NA,23,"Peak_10",534.40000834,534.20132498,0.2,NA,"312PS0099_NA"
"312PS0099",NA,23,"Peak_2",15.96520833,15.96708333,0,NA,"312PS0099_NA"
"312PS0099",NA,23,"Peak_5",342.75430832,342.66304,0.09,NA,"312PS0099_NA"
"312WE1028",2005,NA,"DS_Tim",291,291,0,"Wet","312WE1028_2005"
"312WE1028",2005,NA,"Peak_Dur_10",1,1,0,"Wet","312WE1028_2005"
"312WE1028",2005,NA,"Peak_Dur_2",266,266,0,"Wet","312WE1028_2005"
"312WE1028",2005,NA,"Peak_Dur_5",10,10,0,"Wet","312WE1028_2005"
"312WE1028",2005,NA,"Peak_Fre_10",1,1,0,"Wet","312WE1028_2005"
"312WE1028",2005,NA,"Peak_Fre_2",1,1,0,"Wet","312WE1028_2005"
"312WE1028",2005,NA,"Peak_Fre_5",2,2,0,"Wet","312WE1028_2005"
