Site,Precip_Condition,WaterYear
405CE0280,Wet,1995
405CE0280,Wet,1998
405CE0280,Dry,1997
405CE0280,Dry,2006
405CE0280,Average,2003
405CE0280,Average,2000
719ADCNPS,Wet,2001
719ADCNPS,Wet,1998
719FCA001,Wet,2001
719FCA001,Wet,1998
719MISSCK,Wet,1997
719MISSCK,Wet,1998
719TRMDSS,Wet,1998
719TRMDSS,Wet,2001
722PS0535,Average,2006
722PS0535,Average,1997
722PS0535,Wet,2001
722PS0535,Wet,2008
722PS0535,Dry,2007
722PS0535,Dry,2002
801WE1020,Dry,2007
801WE1020,Dry,2002
801WE1020,Wet,2008
801WE1020,Wet,2011
801WE1020,Average,2004
801WE1020,Average,2006
802WE0794,Wet,2005
802WE0794,Wet,1995
802WE0794,Average,1996
802WE0794,Average,2009
802WE0794,Dry,1999
802WE0794,Dry,2000
SGUT502,Wet,1995
SGUT502,Wet,1998
SGUT502,Average,2000
SGUT502,Average,2003
SGUT502,Dry,2004
SGUT502,Dry,2007
SMC00480,Wet,1996
SMC00480,Wet,2005
SMC00480,Dry,2004
SMC00480,Dry,2006
SMC00480,Average,2003
SMC00480,Average,1999
SMC01248,Wet,1996
SMC01248,Wet,1998
SMC01248,Dry,2006
SMC01248,Dry,1999
SMC01248,Average,2000
SMC01248,Average,2003
SMC01424,Wet,1996
SMC01424,Wet,1995
SMC01424,Dry,2010
SMC01424,Dry,1999
SMC01424,Average,2000
SMC01424,Average,2004
SMC01504,Wet,1998
SMC01504,Wet,1995
SMC01504,Average,2000
SMC01504,Average,2003
SMC01504,Dry,2006
SMC01504,Dry,1999
SMC01808,Wet,1995
SMC01808,Wet,1992
SMC01808,Average,1996
SMC01808,Average,2003
SMC01808,Dry,2006
SMC01808,Dry,2001
SMC02976,Wet,1998
SMC02976,Wet,1995
SMC02976,Dry,2004
SMC02976,Dry,2007
SMC03452,Wet,2003
SMC03452,Wet,1995
SMC03452,Dry,1999
SMC03452,Dry,2004
SMCR8_020,Wet,2005
SMCR8_020,Wet,1998
SMCR8_020,Average,2006
SMCR8_020,Average,1996
SMCR8_020,Dry,2001
SMCR8_020,Dry,2002
SMCR8_022,Wet,2006
SMCR8_022,Wet,2011
SMCR8_050,Wet,2011
SMCR8_050,Wet,2006
SMCR8_050,Dry,2007
SMCR8_050,Dry,2008
SMCR8_057,Dry,2013
SMCR8_057,Dry,2002
SMCR8_057,Wet,2003
SMCR8_057,Wet,2010
SMCR8_057,Average,2004
SMCR8_057,Average,2006
SMCR8_069,Wet,2011
SMCR8_069,Wet,2005
SMCR8_069,Average,2008
SMCR8_069,Average,2006
SMCR8_069,Dry,2007
SMCR8_069,Dry,2009
SMCR8_126,Wet,2006
SMCR8_126,Wet,2011
SMCR8_168,Wet,2011
SMCR8_168,Wet,2006
SMCR8_168,Dry,2007
SMCR8_168,Dry,2008
404S27470,Dry,2000
404S27470,Dry,2002
404S27470,Wet,2011
404S27470,Wet,2001
404S35418,Dry,1992
404S35418,Dry,1996
404S35418,Wet,1995
404S35418,Wet,1998
801WE1032,Wet,1995
801WE1032,Wet,1998
801WE1032,Average,2003
801WE1032,Average,1997
801WE1032,Dry,2004
801WE1032,Dry,2000
901S00531,Wet,1999
901S00531,Wet,1995
901S00531,Dry,2002
901S00531,Dry,2007
SMC01384,Dry,1996
SMC01384,Dry,1992
SMC01384,Wet,1998
SMC01384,Wet,1995
SMC01555,Wet,1999
SMC01555,Wet,1997
